trade_date,code,company_name,data_status,reason,latest_source_date,close,prior_20d_high,volume,prior_20d_avg_volume,volume_multiple,signal,source
2026-09-18,1944,きんでん,VERIFIED,,2026-09-18,6929.0,7320.0,842000.0,576870.0,1.4596009499540625,False,https://query1.finance.yahoo.com/v8/finance/chart/1944.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1945,東京エネシス,VERIFIED,,2026-09-18,2180.0,2190.0,161200.0,151790.0,1.061993543711707,False,https://query1.finance.yahoo.com/v8/finance/chart/1945.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1946,トーエネック,VERIFIED,,2026-09-18,2252.0,2315.0,230400.0,161795.0,1.4240242281899935,False,https://query1.finance.yahoo.com/v8/finance/chart/1946.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1950,日本電設工業,VERIFIED,,2026-09-18,4125.0,4160.0,170500.0,87470.0,1.949239739339202,False,https://query1.finance.yahoo.com/v8/finance/chart/1950.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1951,エクシオグループ,VERIFIED,,2026-09-18,2621.0,2702.5,623900.0,418055.0,1.4923873652988242,False,https://query1.finance.yahoo.com/v8/finance/chart/1951.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1952,新日本空調,VERIFIED,,2026-09-18,3240.0,3275.0,231900.0,128160.0,1.8094569288389513,False,https://query1.finance.yahoo.com/v8/finance/chart/1952.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1959,クラフティア,VERIFIED,,2026-09-18,8087.0,8445.0,288100.0,163835.0,1.7584765160069582,False,https://query1.finance.yahoo.com/v8/finance/chart/1959.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1961,三機工業,VERIFIED,,2026-09-18,2531.0,2534.0,739000.0,431990.0,1.7106877474015603,False,https://query1.finance.yahoo.com/v8/finance/chart/1961.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1963,日揮ホールディングス,VERIFIED,,2026-09-18,2334.5,2463.5,1448900.0,1511425.0,0.9586317548009329,False,https://query1.finance.yahoo.com/v8/finance/chart/1963.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1964,中外炉工業,VERIFIED,,2026-09-18,3930.0,4130.0,34000.0,19660.0,1.7293997965412005,False,https://query1.finance.yahoo.com/v8/finance/chart/1964.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1968,太平電業,VERIFIED,,2026-09-18,2558.0,2611.0,228500.0,136210.0,1.677556713897658,False,https://query1.finance.yahoo.com/v8/finance/chart/1968.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
2026-09-18,1969,高砂熱学工業,VERIFIED,,2026-09-18,4713.0,4676.0,747000.0,461580.0,1.6183543481086702,False,https://query1.finance.yahoo.com/v8/finance/chart/1969.T?range=3mo&interval=1d&events=history&includeAdjustedClose=false
