index_id,date,open,high,low,close,source,fetched_at
nikkei225,2026-01-05,51832.80,51010.28,52033.24,50995.67,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-06,52518.08,52157.22,52523.77,52024.62,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-07,51961.98,52144.64,52404.11,51830.40,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-08,51117.26,51769.83,51866.19,51052.83,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-09,51939.89,51367.98,51986.91,51189.14,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-13,53549.16,52808.29,53814.79,52741.64,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-14,54341.23,53827.24,54487.32,53792.68,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-15,54110.50,54039.40,54153.61,53709.87,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-16,53936.17,54071.28,54130.60,53706.79,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-19,53583.57,53390.05,53583.57,53091.45,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-20,52991.10,53348.59,53408.35,52852.90,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-21,52774.64,52228.08,52848.78,52194.81,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-22,53688.89,53327.39,53922.53,53242.38,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-23,53846.87,53898.45,54050.84,53603.68,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-26,52885.25,53023.28,53138.67,52656.00,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-27,53333.54,52847.54,53334.03,52637.66,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-28,53358.71,53023.88,53507.18,52788.10,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-29,53375.60,53301.26,53742.69,52990.42,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-01-30,53322.85,53434.73,53590.24,52923.12,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-02,52655.18,53575.37,54247.15,52655.18,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-03,54720.66,53332.18,54782.83,53307.74,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-04,54293.36,54250.41,54459.41,53965.51,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-05,53818.04,54289.05,54459.08,53653.06,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-06,54253.68,53435.37,54253.68,52950.15,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-09,56363.94,55130.63,57337.07,55018.57,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
nikkei225,2026-02-10,57650.54,56812.01,57960.19,56812.01,https://indexes.nikkei.co.jp/nkave/historical/nikkei_stock_average_daily_jp.csv,2026-03-21T05:06:26+00:00
