code,company_name,ticker_tse
5384,フジミインコーポレーテッド,5384.T
5393,ニチアス,5393.T
5401,日本製鉄,5401.T
5406,神戸製鋼所,5406.T
5408,中山製鋼所,5408.T
5410,合同製鐵,5410.T
5411,ＪＦＥホールディングス,5411.T
5423,東京製鐵,5423.T
543A,ＡＲＣＨＩＯＮ,543A.T
5440,共英製鋼,5440.T
5444,大和工業,5444.T
5445,東京鐵鋼,5445.T
544A,ＧＭＳグループ,544A.T
5451,ヨドコウ,5451.T
545A,トランヴィア,545A.T
5461,中部鋼鈑,5461.T
5463,丸一鋼管,5463.T
546A,ＭＩＲＡＩＮＩホールディングス,546A.T
5471,大同特殊鋼,5471.T
547A,ムニノバホールディングス,547A.T
5480,日本冶金工業,5480.T
5482,愛知製鋼,5482.T
5535,ミガロホールディングス,5535.T
5541,大平洋金属,5541.T
5563,新日本電工,5563.T
5602,栗本鐵工所,5602.T
5631,日本製鋼所,5631.T
5632,三菱製鋼,5632.T
5659,日本精線,5659.T
5702,大紀アルミニウム工業所,5702.T
5703,日本軽金属ホールディングス,5703.T
5706,三井金属,5706.T
5707,東邦亜鉛,5707.T
5711,三菱マテリアル,5711.T
5713,住友金属鉱山,5713.T
5714,ＤＯＷＡホールディングス,5714.T
5715,古河機械金属,5715.T
5726,大阪チタニウムテクノロジーズ,5726.T
5741,ＵＡＣＪ,5741.T
5757,ＣＫサンエツ,5757.T
575A,前澤ホールディングス,575A.T
5801,古河電気工業,5801.T
5802,住友電気工業,5802.T
5803,フジクラ,5803.T
5805,ＳＷＣＣ,5805.T
5821,平河ヒューテック,5821.T
5830,いよぎんホールディングス,5830.T
5831,しずおかフィナンシャルグループ,5831.T
5832,ちゅうぎんフィナンシャルグループ,5832.T
5838,楽天銀行,5838.T
5844,京都フィナンシャルグループ,5844.T
5851,リョービ,5851.T
5852,アーレスティ,5852.T
5857,ＡＲＥホールディングス,5857.T
5889,Ｊａｐａｎ　Ｅｙｅｗｅａｒ　Ｈｏｌｄｉｎｇｓ,5889.T
